distance,hexagonal,neighbourhood_scaler,learning_rate,silhouette_score,davies_bouldin_score
<model.distance.GaussianDistance object at 0x131975b70>,True,0.1,0.001,0.12186972545404756,1.1980310313366964
<model.distance.GaussianDistance object at 0x131975b70>,True,0.1,0.01,0.1651580417534187,1.090906527420207
<model.distance.GaussianDistance object at 0x131975b70>,True,0.1,0.1,0.2275719957338627,0.9975826776080803
<model.distance.GaussianDistance object at 0x131975b70>,True,0.1,1.0,0.2533597727294037,0.9166425031187013
<model.distance.GaussianDistance object at 0x131975b70>,True,0.5,0.001,0.13973546061468098,1.1530784997251917
<model.distance.GaussianDistance object at 0x131975b70>,True,0.5,0.01,0.14880208132603992,1.1247172356719695
<model.distance.GaussianDistance object at 0x131975b70>,True,0.5,0.1,0.2263360955779245,1.011164669799411
<model.distance.GaussianDistance object at 0x131975b70>,True,0.5,1.0,0.257417037846322,0.8946709744186869
<model.distance.GaussianDistance object at 0x131975b70>,True,1.0,0.001,0.10467595705583607,1.1792652569265332
<model.distance.GaussianDistance object at 0x131975b70>,True,1.0,0.01,0.10180630766558041,1.1194769194092151
<model.distance.GaussianDistance object at 0x131975b70>,True,1.0,0.1,0.186381514175439,1.0283233555847033
<model.distance.GaussianDistance object at 0x131975b70>,True,1.0,1.0,0.2515794527239033,0.953660163018149
<model.distance.GaussianDistance object at 0x131975b70>,False,0.1,0.001,0.13530073151145725,1.1468508933995782
<model.distance.GaussianDistance object at 0x131975b70>,False,0.1,0.01,0.13045922694925471,1.1639014392796216
<model.distance.GaussianDistance object at 0x131975b70>,False,0.1,0.1,0.22060311060359117,1.0101400285122277
<model.distance.GaussianDistance object at 0x131975b70>,False,0.1,1.0,0.25234088092872986,0.9152284688487152
<model.distance.GaussianDistance object at 0x131975b70>,False,0.5,0.001,0.12540141931563184,1.1714159817774836
<model.distance.GaussianDistance object at 0x131975b70>,False,0.5,0.01,0.15012526259482528,1.1280544119733296
<model.distance.GaussianDistance object at 0x131975b70>,False,0.5,0.1,0.1975908813680504,0.9559495544066292
<model.distance.GaussianDistance object at 0x131975b70>,False,0.5,1.0,0.24703089169820275,0.9538942799857982
<model.distance.GaussianDistance object at 0x131975b70>,False,1.0,0.001,0.1190835406446845,1.1683743040197292
<model.distance.GaussianDistance object at 0x131975b70>,False,1.0,0.01,0.0728494369053482,1.074144423783144
<model.distance.GaussianDistance object at 0x131975b70>,False,1.0,0.1,0.16808643099694237,1.0936743116145262
<model.distance.GaussianDistance object at 0x131975b70>,False,1.0,1.0,0.21678624302908672,1.0005569383170865
<model.distance.MexicanHatDistance object at 0x131975c50>,True,0.1,0.001,0.12076157554670618,1.1546605607438087
<model.distance.MexicanHatDistance object at 0x131975c50>,True,0.1,0.01,0.14904184907505283,1.1273056454979287
<model.distance.MexicanHatDistance object at 0x131975c50>,True,0.1,0.1,0.2367672953170695,0.9735288074770205
<model.distance.MexicanHatDistance object at 0x131975c50>,True,0.1,1.0,0.24606233726686147,0.9145864256409243
<model.distance.MexicanHatDistance object at 0x131975c50>,True,0.5,0.001,0.13897516919109454,1.1423755836829943
<model.distance.MexicanHatDistance object at 0x131975c50>,True,0.5,0.01,0.16725772885437634,1.0488026683031455
<model.distance.MexicanHatDistance object at 0x131975c50>,True,0.5,0.1,0.21543824836125613,0.9573218379175874
<model.distance.MexicanHatDistance object at 0x131975c50>,True,0.5,1.0,0.2044414631045025,1.2204076602244132
<model.distance.MexicanHatDistance object at 0x131975c50>,True,1.0,0.001,0.11051698348633877,1.1568765580379432
<model.distance.MexicanHatDistance object at 0x131975c50>,True,1.0,0.01,0.15968235994502797,1.1075587120690102
<model.distance.MexicanHatDistance object at 0x131975c50>,True,1.0,0.1,0.24433987711545163,1.147938263782364
<model.distance.MexicanHatDistance object at 0x131975c50>,True,1.0,1.0,0.26277137171978204,1.3093273179441731
<model.distance.MexicanHatDistance object at 0x131975c50>,False,0.1,0.001,0.10935507794229153,1.1414907949466853
<model.distance.MexicanHatDistance object at 0x131975c50>,False,0.1,0.01,0.14180249195140168,1.104386976825981
<model.distance.MexicanHatDistance object at 0x131975c50>,False,0.1,0.1,0.24033420333497313,0.9799290495871072
<model.distance.MexicanHatDistance object at 0x131975c50>,False,0.1,1.0,0.2479238421163589,0.9141710081055707
<model.distance.MexicanHatDistance object at 0x131975c50>,False,0.5,0.001,0.12664446612849156,1.1418222622936116
<model.distance.MexicanHatDistance object at 0x131975c50>,False,0.5,0.01,0.13696967898821266,1.0541390648309945
<model.distance.MexicanHatDistance object at 0x131975c50>,False,0.5,0.1,0.23500020700187804,1.1105244474348535
<model.distance.MexicanHatDistance object at 0x131975c50>,False,0.5,1.0,0.21979295248929703,1.23379731767837
<model.distance.MexicanHatDistance object at 0x131975c50>,False,1.0,0.001,0.08781713077968895,1.0846039758138923
<model.distance.MexicanHatDistance object at 0x131975c50>,False,1.0,0.01,0.23049048427683685,1.1855120494149156
<model.distance.MexicanHatDistance object at 0x131975c50>,False,1.0,0.1,0.35495220300334485,1.1078741313307057
<model.distance.MexicanHatDistance object at 0x131975c50>,False,1.0,1.0,0.41610843000896947,0.9184756833570112
