distance,hexagonal,neighbourhood_scaler,learning_rate,silhouette_score,davies_bouldin_score
<model.distance.GaussianDistance object at 0x1662e1450>,True,0.1,0.001,0.020599034922807503,2.2533633073938173
<model.distance.GaussianDistance object at 0x1662e1450>,True,0.1,0.01,0.020947110190432845,2.05499032721424
<model.distance.GaussianDistance object at 0x1662e1450>,True,0.1,0.1,0.036663360182297405,1.8493810609194072
<model.distance.GaussianDistance object at 0x1662e1450>,True,0.1,1.0,0.08325338747035875,1.7890177207714695
<model.distance.GaussianDistance object at 0x1662e1450>,True,0.5,0.001,0.015186541728887441,2.3091804332844097
<model.distance.GaussianDistance object at 0x1662e1450>,True,0.5,0.01,0.023706301863431093,1.9712279914526976
<model.distance.GaussianDistance object at 0x1662e1450>,True,0.5,0.1,0.044860019961152166,1.8251400617833742
<model.distance.GaussianDistance object at 0x1662e1450>,True,0.5,1.0,0.07703793418455651,1.7733323796336171
<model.distance.GaussianDistance object at 0x1662e1450>,True,1.0,0.001,0.013024681299914026,2.4103756114628823
<model.distance.GaussianDistance object at 0x1662e1450>,True,1.0,0.01,0.02024578678504476,1.9442588515118069
<model.distance.GaussianDistance object at 0x1662e1450>,True,1.0,0.1,0.07498052861394235,2.160899659976847
<model.distance.GaussianDistance object at 0x1662e1450>,True,1.0,1.0,0.07958310395221688,2.0658312929455027
<model.distance.GaussianDistance object at 0x1662e1450>,False,0.1,0.001,0.02034949782825911,2.283014799227377
<model.distance.GaussianDistance object at 0x1662e1450>,False,0.1,0.01,0.010783265701408544,2.032757411655475
<model.distance.GaussianDistance object at 0x1662e1450>,False,0.1,0.1,0.03915759030356107,1.8494870401879495
<model.distance.GaussianDistance object at 0x1662e1450>,False,0.1,1.0,0.08517697993978675,1.7387776202020204
<model.distance.GaussianDistance object at 0x1662e1450>,False,0.5,0.001,0.011989408728663485,2.2729318899924476
<model.distance.GaussianDistance object at 0x1662e1450>,False,0.5,0.01,0.01925870913985281,1.9230671548081502
<model.distance.GaussianDistance object at 0x1662e1450>,False,0.5,0.1,0.08032904228089591,2.0142128125428043
<model.distance.GaussianDistance object at 0x1662e1450>,False,0.5,1.0,0.08327117117630746,1.9580607021028194
<model.distance.GaussianDistance object at 0x1662e1450>,False,1.0,0.001,0.015176983300639034,2.3081087552421957
<model.distance.GaussianDistance object at 0x1662e1450>,False,1.0,0.01,0.04457946022231195,2.166513259017442
<model.distance.GaussianDistance object at 0x1662e1450>,False,1.0,0.1,0.053762090827883385,2.2759835077056882
<model.distance.GaussianDistance object at 0x1662e1450>,False,1.0,1.0,0.0630747475457291,2.2677379781607363
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.1,0.001,0.016415258112007648,2.2379274965689127
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.1,0.01,0.02138325586570591,1.8973424403121575
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.1,0.1,0.040301334232000066,1.8740427926313825
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.1,1.0,0.07871635291689785,1.7870530600571317
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.5,0.001,0.02374453969685578,2.317688592407584
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.5,0.01,0.02087650859263474,1.9547166837366032
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.5,0.1,0.02101084904818458,1.6529886873057718
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.5,1.0,0.10207813770724057,2.0945392099179574
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,1.0,0.001,-0.010838065963997239,2.168524457120983
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,1.0,0.01,-0.03171568602750303,1.7142578437422331
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,1.0,0.1,0.09148730777674408,2.1278132355691795
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,1.0,1.0,0.08923212061000024,2.448227700604423
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.1,0.001,0.015021578921204657,2.3158393716789867
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.1,0.01,0.02112101862062458,1.9576290771605631
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.1,0.1,0.03776839897368342,1.861092727917323
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.1,1.0,0.08098657522096404,1.792130910832766
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.5,0.001,0.013215721760845976,2.30509909146835
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.5,0.01,-0.04017345846831604,1.6371105960252648
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.5,0.1,0.07782836341945204,2.1880246021681438
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.5,1.0,0.09615200930605929,2.246799215913133
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,1.0,0.001,-0.0609469727676949,1.8929070947643822
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,1.0,0.01,0.01943835554399725,1.6871557303385416
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,1.0,0.1,0.12792271374041145,2.146161560943901
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,1.0,1.0,0.12822671144950587,2.3598114516469173
