distance,hexagonal,neighbourhood_scaler,learning_rate,silhouette_score,davies_bouldin_score
<model.distance.GaussianDistance object at 0x131975a90>,True,0.1,0.001,0.19256454087367705,0.9016633737151775
<model.distance.GaussianDistance object at 0x131975a90>,True,0.1,0.01,0.17920319147490343,0.8964935943673188
<model.distance.GaussianDistance object at 0x131975a90>,True,0.1,0.1,0.297149459968498,0.7907660470861458
<model.distance.GaussianDistance object at 0x131975a90>,True,0.1,1.0,0.36802470471608806,0.6496856235890273
<model.distance.GaussianDistance object at 0x131975a90>,True,0.5,0.001,0.212727560126322,0.8490961861929804
<model.distance.GaussianDistance object at 0x131975a90>,True,0.5,0.01,0.23108118081376536,0.882392303544128
<model.distance.GaussianDistance object at 0x131975a90>,True,0.5,0.1,0.2952343854445329,0.7962771644605022
<model.distance.GaussianDistance object at 0x131975a90>,True,0.5,1.0,0.35597361826266904,0.6697966004456127
<model.distance.GaussianDistance object at 0x131975a90>,True,1.0,0.001,0.2209887755629118,0.871038953118567
<model.distance.GaussianDistance object at 0x131975a90>,True,1.0,0.01,0.18905796000408523,0.8606308509083507
<model.distance.GaussianDistance object at 0x131975a90>,True,1.0,0.1,0.26452918554121313,0.7738876367185646
<model.distance.GaussianDistance object at 0x131975a90>,True,1.0,1.0,0.372347402522388,0.6744311299678416
<model.distance.GaussianDistance object at 0x131975a90>,False,0.1,0.001,0.17703416189358204,0.9110015896807816
<model.distance.GaussianDistance object at 0x131975a90>,False,0.1,0.01,0.23704451051416162,0.8880092167730439
<model.distance.GaussianDistance object at 0x131975a90>,False,0.1,0.1,0.2935794387746094,0.7999740689200282
<model.distance.GaussianDistance object at 0x131975a90>,False,0.1,1.0,0.3639454566984172,0.6528378115239992
<model.distance.GaussianDistance object at 0x131975a90>,False,0.5,0.001,0.19591922524496208,0.9093645496768089
<model.distance.GaussianDistance object at 0x131975a90>,False,0.5,0.01,0.20423562928457922,0.8392447868630645
<model.distance.GaussianDistance object at 0x131975a90>,False,0.5,0.1,0.29276820499113254,0.7893031182835882
<model.distance.GaussianDistance object at 0x131975a90>,False,0.5,1.0,0.35188840444400116,0.7048486495610761
<model.distance.GaussianDistance object at 0x131975a90>,False,1.0,0.001,0.17596564652479776,0.9382718860377985
<model.distance.GaussianDistance object at 0x131975a90>,False,1.0,0.01,0.22654119501995743,0.7766352358904082
<model.distance.GaussianDistance object at 0x131975a90>,False,1.0,0.1,0.26174073551700083,0.8110215393034753
<model.distance.GaussianDistance object at 0x131975a90>,False,1.0,1.0,0.31732230110780674,0.758542119687232
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,0.1,0.001,0.2124641939721225,0.8982449573336659
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,0.1,0.01,0.21059648347455764,0.8312752821977935
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,0.1,0.1,0.29894163176260935,0.7615716674484334
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,0.1,1.0,0.3479072201809073,0.7119524100783536
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,0.5,0.001,0.19395973319073023,0.9349642631552715
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,0.5,0.01,0.22409255897539826,0.8488536181679303
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,0.5,0.1,0.32104624309045526,0.7143969206157891
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,0.5,1.0,0.32602872804189786,0.8253862766187291
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,1.0,0.001,0.1688549837298354,0.9456466193943762
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,1.0,0.01,0.24743005203431173,0.8179820615862193
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,1.0,0.1,0.34081513186803797,0.9010457159065567
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,True,1.0,1.0,0.37428897387079124,0.9821178797390369
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,0.1,0.001,0.23065935975349514,0.8390397761442517
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,0.1,0.01,0.22027902172006483,0.8965738591310409
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,0.1,0.1,0.3216817477218504,0.7571762348221436
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,0.1,1.0,0.36227989726833937,0.647807701188104
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,0.5,0.001,0.19332422162150625,0.9344521853668525
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,0.5,0.01,0.23351555796793766,0.8011897751497258
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,0.5,0.1,0.3265458989502455,0.9316025162488565
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,0.5,1.0,0.302794831008904,0.9423772047568413
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,1.0,0.001,0.19214194953540642,0.947060844398819
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,1.0,0.01,0.25479963039793146,0.8913189171179863
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,1.0,0.1,0.5459700900367838,0.6861378965523044
<model.distance.MexicanHatDistance object at 0x16afbf4d0>,False,1.0,1.0,0.594778890949419,0.5416810673404603
