distance,hexagonal,neighbourhood_scaler,learning_rate,silhouette_score,davies_bouldin_score
<model.distance.GaussianDistance object at 0x163ab3680>,True,0.1,0.001,0.01910605997051348,2.2653186578743774
<model.distance.GaussianDistance object at 0x163ab3680>,True,0.1,0.01,0.01786908686138954,2.0086393588164353
<model.distance.GaussianDistance object at 0x163ab3680>,True,0.1,0.1,0.04516062720634512,1.8464634343702206
<model.distance.GaussianDistance object at 0x163ab3680>,True,0.1,1.0,0.0672071069115178,1.8296384482465649
<model.distance.GaussianDistance object at 0x163ab3680>,True,0.5,0.001,0.016397495122175563,2.3134657566777865
<model.distance.GaussianDistance object at 0x163ab3680>,True,0.5,0.01,0.013217357674616527,1.9858641000867265
<model.distance.GaussianDistance object at 0x163ab3680>,True,0.5,0.1,0.04049569374932177,1.8174462251157828
<model.distance.GaussianDistance object at 0x163ab3680>,True,0.5,1.0,0.06640609898454528,1.776509923144561
<model.distance.GaussianDistance object at 0x163ab3680>,True,1.0,0.001,0.017276359985778193,2.2737689003245407
<model.distance.GaussianDistance object at 0x163ab3680>,True,1.0,0.01,0.026773445074217434,2.1208877580020395
<model.distance.GaussianDistance object at 0x163ab3680>,True,1.0,0.1,0.060250815778815504,2.022273610275718
<model.distance.GaussianDistance object at 0x163ab3680>,True,1.0,1.0,0.07179643863722344,1.9782114117216254
<model.distance.GaussianDistance object at 0x163ab3680>,False,0.1,0.001,0.020230488871456016,2.302133507220412
<model.distance.GaussianDistance object at 0x163ab3680>,False,0.1,0.01,0.0030399945471831255,2.0693387514061232
<model.distance.GaussianDistance object at 0x163ab3680>,False,0.1,0.1,0.030915413850697994,1.836330987708188
<model.distance.GaussianDistance object at 0x163ab3680>,False,0.1,1.0,0.06951907751970512,1.7903388110379392
<model.distance.GaussianDistance object at 0x163ab3680>,False,0.5,0.001,0.01515318690643031,2.2390649931704663
<model.distance.GaussianDistance object at 0x163ab3680>,False,0.5,0.01,0.010846987316478856,2.0012511536827993
<model.distance.GaussianDistance object at 0x163ab3680>,False,0.5,0.1,0.06080663026998871,1.9719493750408943
<model.distance.GaussianDistance object at 0x163ab3680>,False,0.5,1.0,0.06995737219406557,1.9324038507911185
<model.distance.GaussianDistance object at 0x163ab3680>,False,1.0,0.001,0.02235435686607403,2.309747319782018
<model.distance.GaussianDistance object at 0x163ab3680>,False,1.0,0.01,0.027246732494969356,2.0495424409114524
<model.distance.GaussianDistance object at 0x163ab3680>,False,1.0,0.1,0.04966107050454099,2.2083239069237086
<model.distance.GaussianDistance object at 0x163ab3680>,False,1.0,1.0,0.05707592621010828,2.1692153316464804
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.1,0.001,0.008209921542079656,2.2962643731089214
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.1,0.01,0.014890503417400424,2.034652600532327
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.1,0.1,0.03357023905481078,1.8433586778476734
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.1,1.0,0.06930004505175259,1.833856272178946
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.5,0.001,0.010686349691167652,2.2462405940413936
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.5,0.01,-0.001974528158075228,1.943605869361601
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.5,0.1,0.01377489033893369,1.7537008518107768
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,0.5,1.0,0.06565424189051328,2.5012111315324512
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,1.0,0.001,0.001470021876642193,2.174063744856639
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,1.0,0.01,-0.1045054682506381,1.632662714476633
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,1.0,0.1,0.06044699368197136,2.377564787942673
<model.distance.MexicanHatDistance object at 0x163ab3130>,True,1.0,1.0,0.05925829566901143,2.8734986573796806
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.1,0.001,0.012420304096489527,2.28798660362337
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.1,0.01,0.013929312689653021,1.9726156126924121
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.1,0.1,0.03159390477517768,1.9141853500204071
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.1,1.0,0.0639354822471549,1.823268368559663
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.5,0.001,0.014641122529184465,2.212906956108643
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.5,0.01,-0.09097047847205326,1.6076794055669277
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.5,0.1,0.022735474682293002,2.2296388895319135
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,0.5,1.0,0.06369469667438668,2.6838490047229615
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,1.0,0.001,-0.01901062793826011,2.095993650881189
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,1.0,0.01,-0.1446319064781751,1.4878447743380285
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,1.0,0.1,0.060843680080664715,2.5278216752844296
<model.distance.MexicanHatDistance object at 0x163ab3130>,False,1.0,1.0,0.06746821519091725,3.16003385270768
